Pay_ID,Pay_Method,Pay_Date
1,Cash,11/28/2021
2,Card,11/19/2021
3,Cash,1/13/2022
4,,2/20/2022
5,Card,2/28/2022
6,Cash,11/15/2021
7,Card,10/15/2021
8,Cash,1/12/2022
9,Cheque,3/12/2022
10,Card,6/20/2022
11,Cash,1/29/2021
12,,7/5/2021
13,Cash,1/5/2022
14,Cheque,3/12/2022
15,Card,3/20/2022
16,Cash,11/28/2021
17,Card,8/15/2021
18,Cash,1/17/2022
19,Cheque,2/12/2022
20,Cash,3/25/2022
21,,11/25/2021
22,Cash,11/19/2021
23,Cheque,11/10/2022
24,Card,1/25/2022
25,Cash,2/18/2022
26,Card,4/10/2022
27,Cash,12/19/2021
28,Cheque,11/20/2021
